,中西區,仁德區,北區,南區,安平區,東區,永康區
中西區,0.0,0.0074785795119149704,0.02024917941192305,0.0018225487923964516,0.05807734510879713,2.1505847606343536e-05,0.009385224957017236
仁德區,0.0074785795119149704,0.0,1.3075999596429753e-05,2.0238688438826244e-06,0.18221166593817847,5.054990651969824e-09,4.170757156246019e-06
北區,0.02024917941192305,1.3075999596429753e-05,0.0,0.06122461017569996,0.00017321621907684227,0.018314723135407187,0.15005790363742286
南區,0.0018225487923964516,2.0238688438826244e-06,0.06122461017569996,0.0,2.2402995217685355e-05,0.04769041660885092,0.049873465775616424
安平區,0.05807734510879713,0.18221166593817847,0.00017321621907684227,2.2402995217685355e-05,0.0,8.02424727722221e-08,6.516628275686224e-05
東區,2.1505847606343536e-05,5.054990651969824e-09,0.018314723135407187,0.04769041660885092,8.02424727722221e-08,0.0,0.015283876522750855
永康區,0.009385224957017236,4.170757156246019e-06,0.15005790363742286,0.049873465775616424,6.516628275686224e-05,0.015283876522750855,0.0
