區,確診數_mean,確診數_std,確診數_min,確診數_max,確診數_q25,確診數_q75,確診數_change_mean,確診數_change_std,確診數_acf_1,確診數_acf_2,確診數_acf_3,確診數_trend,ovum_sum_mean,ovum_sum_std,ovum_sum_min,ovum_sum_max,ovum_sum_q25,ovum_sum_q75,ovum_sum_change_mean,ovum_sum_change_std,ovum_sum_acf_1,ovum_sum_acf_2,ovum_sum_acf_3,ovum_sum_trend,人口數總計_mean,人口數總計_std,人口數總計_min,人口數總計_max,人口數總計_q25,人口數總計_q75,人口數總計_change_mean,人口數總計_change_std,人口數總計_acf_1,人口數總計_acf_2,人口數總計_acf_3,人口數總計_trend,噴藥次數_mean,噴藥次數_std,噴藥次數_min,噴藥次數_max,噴藥次數_q25,噴藥次數_q75,噴藥次數_change_mean,噴藥次數_change_std,噴藥次數_acf_1,噴藥次數_acf_2,噴藥次數_acf_3,噴藥次數_trend,週平均氣溫(℃)_x_mean,週平均氣溫(℃)_x_std,週平均氣溫(℃)_x_min,週平均氣溫(℃)_x_max,週平均氣溫(℃)_x_q25,週平均氣溫(℃)_x_q75,週平均氣溫(℃)_x_change_mean,週平均氣溫(℃)_x_change_std,週平均氣溫(℃)_x_acf_1,週平均氣溫(℃)_x_acf_2,週平均氣溫(℃)_x_acf_3,週平均氣溫(℃)_x_trend,週總降水量(mm)_x_mean,週總降水量(mm)_x_std,週總降水量(mm)_x_min,週總降水量(mm)_x_max,週總降水量(mm)_x_q25,週總降水量(mm)_x_q75,週總降水量(mm)_x_change_mean,週總降水量(mm)_x_change_std,週總降水量(mm)_x_acf_1,週總降水量(mm)_x_acf_2,週總降水量(mm)_x_acf_3,週總降水量(mm)_x_trend,週平均相對溼度(%)_x_mean,週平均相對溼度(%)_x_std,週平均相對溼度(%)_x_min,週平均相對溼度(%)_x_max,週平均相對溼度(%)_x_q25,週平均相對溼度(%)_x_q75,週平均相對溼度(%)_x_change_mean,週平均相對溼度(%)_x_change_std,週平均相對溼度(%)_x_acf_1,週平均相對溼度(%)_x_acf_2,週平均相對溼度(%)_x_acf_3,週平均相對溼度(%)_x_trend,kmeans_cluster,hierarchical_cluster
中西區,30.0,51.843329071644014,0.0,189.0,0.0,29.0,0.0,0.0,0.9582987300143322,0.8883417184207768,0.7798528688226458,1.7497177874536363,1874.0377358490566,1639.9348012633839,256.0,8151.0,726.0,2411.0,0.21159642757424593,0.8804084373146993,0.5941702047091504,0.5715160839936196,0.3785329591899524,31.744073536526376,78083.0,0.0,78083,78083,78083.0,78083.0,0.0,0.0,0,0,0,6.213623879201483e-13,363.0,0.0,363,363,363.0,363.0,0.0,0.0,0,0,0,1.2214038530472123e-15,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,0,1
仁德區,15.566037735849056,18.6109039936293,0.0,60.0,0.0,28.0,0.0,0.0,0.8539185109084789,0.7700469801089284,0.66079105353253,0.6737622964038058,1472.566037735849,1344.2469654825331,135.0,5614.0,425.0,2048.0,0.21661019840481585,0.8187551703167661,0.7356615073793814,0.5826459455537017,0.583091464886662,41.497097242380256,77341.0,0.0,77341,77341,77341.0,77341.0,0.0,0.0,0,0,0,5.767496594786126e-14,92.0,0.0,92,92,92.0,92.0,0.0,0.0,0,0,0,-7.470950307298777e-16,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,0,0
北區,55.113207547169814,91.25042895101676,0.0,334.0,0.0,79.0,0.0,0.0,0.9538140361108477,0.8890995588870743,0.8004445003991189,3.1449766166747297,2460.1132075471696,1979.2745724359308,66.0,8040.0,863.0,3486.0,0.16445948202141097,0.9011194190981657,0.6295452216361566,0.5224031212597526,0.4734380102630696,29.314949201741644,126529.0,0.0,126529,126529,126529.0,126529.0,0.0,0.0,0,0,0,4.4125483995692365e-13,418.0,0.0,418,418,418.0,418.0,0.0,0.0,0,0,0,-1.6837471905739794e-16,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,1,1
南區,57.58490566037736,102.92966866193787,0.0,437.0,0.0,61.0,0.0,0.0,0.9324296144897842,0.8523972187578779,0.7566426530079553,3.1355426544105782,3543.7735849056603,2917.9629198460552,303.0,12562.0,1428.0,5196.0,0.2269229690204741,1.199380451135912,0.5816594018610929,0.4624407812066878,0.45069143118505317,50.11990001612641,121214.0,0.0,121214,121214,121214.0,121214.0,0.0,0.0,0,0,0,4.884281954311178e-13,393.0,0.0,393,393,393.0,393.0,0.0,0.0,0,0,0,3.08063710953779e-15,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,1,2
安平區,14.773584905660377,26.598612969500987,0.0,100.0,0.0,12.0,0.0,0.0,0.9194625225154156,0.8433367587173926,0.7332018076455998,0.857281083696178,1382.6037735849056,1316.2353416471046,76.0,5949.0,500.0,1789.0,0.30149377787371906,1.2943963822586093,0.6731218526915747,0.4019914692437471,0.44463677116196965,28.27810030640219,68979.0,0.0,68979,68979,68979.0,68979.0,0.0,0.0,0,0,0,1.3845205535703006e-13,270.0,0.0,270,270,270.0,270.0,0.0,0.0,0,0,0,1.2981807979741793e-15,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,0,0
東區,89.11320754716981,136.312940349849,0.0,426.0,0.0,114.0,0.0,0.0,0.9620882975110797,0.9075955335765707,0.8233296545519107,4.533301080470891,2786.2830188679245,2440.536080591236,220.0,10786.0,898.0,3876.0,0.22179943689233952,1.0075039214564603,0.5379495793588447,0.5011227574886875,0.4236353603895915,32.717223028543785,181708.0,0.0,181708,181708,181708.0,181708.0,0.0,0.0,0,0,0,1.0338844721123818e-13,570.0,0.0,570,570,570.0,570.0,0.0,0.0,0,0,0,3.5458656775426184e-15,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,1,2
永康區,66.26415094339623,96.72426132357984,0.0,339.0,0.0,106.0,0.0,0.0,0.9366046384392892,0.8994325302563689,0.8297332430990676,3.2781809385582976,3282.3207547169814,2561.352533132453,284.0,10061.0,1041.0,4563.0,0.14830397036409684,0.689654346744268,0.6727463159280808,0.5593962767690929,0.5251685664824229,64.68892114175132,235151.0,0.0,235151,235151,235151.0,235151.0,0.0,0.0,0,0,0,3.3532461383371022e-12,448.0,0.0,448,448,448.0,448.0,0.0,0.0,0,0,0,3.280652932956812e-15,25.122641509433965,4.358986804885616,15.0,30.63,21.7,28.76,0.004398699431799076,0.09108575884499731,0.8945921670128264,0.8310594167642102,0.7960256644958423,0.10212143202709234,25.867924528301888,68.8669390748032,0.0,364.5,0.0,10.0,0.0,0.0,0.12051823865549299,0.22073148821695232,0.07127570673960593,0.5762377035961941,74.73075471698114,5.742996353103157,59.14,88.86,71.57,79.0,0.0028105116398243115,0.08179768208675235,0.4408673918973338,0.14401269240674874,0.05504027260615892,-0.0013917110143517343,1,2
